Year,Month,Channel,Brand,Weight range,Units (in 1000),Value (in 1000 rub),Volume (in 1000 kg),Number of stores
2020,5,Minimarkets,Green,300-349G,0.0007,0.07665,0.0002,1
2020,5,Minimarkets,Green,350-399G,65.0353,6461.604885,22.7624,8213
2020,5,Minimarkets,Green,400-599G,7.079,978.03047,3.5394,1256
2020,5,Minimarkets,Green,600-899G,0.4188,71.137857,0.3141,337
2020,5,Minimarkets,Blue,400-599G,9.4711,1704.141979,3.7885,1342
2020,5,Minimarkets,Yellow,350-399G,14.6881,881.70831,5.2878,2350
2020,5,Minimarkets,Black,200-249G,3.7982,283.989748,0.8736,1569
2020,5,Minimarkets,Black,400-599G,0.6053,112.811286,0.2724,330
2020,5,Minimarkets,Red,350-399G,1.528,224.946184,0.5654,327
2020,5,Minimarkets,Delicate,400-599G,1.291,137.342741,0.6456,780
2020,5,Minimarkets,White,<200G,1.3652,128.123744,0.2457,245
2020,5,Minimarkets,Orange,250-299G,0.0013,0.429929,0.0003,2
2020,5,Minimarkets,Orange,400-599G,0.5541,65.790073,0.2217,334
2020,5,Minimarkets,Teal,350-399G,0.7088,42.52785,0.2481,188
2020,5,Minimarkets,Purple,400-599G,0.1453,41.459526,0.0581,0
2020,5,Supermarkets,Green,200-249G,126.6888,6964.641234,26.6046,11236
2020,5,Supermarkets,Green,350-399G,87.3889,7894.581306,30.5861,7935
2020,5,Supermarkets,Green,400-599G,17.5314,2313.44746,8.7657,2129
2020,5,Supermarkets,Green,600-899G,0.0754,10.34063,0.0566,34
2020,5,Supermarkets,Blue,400-599G,23.8464,4815.378802,9.5385,2262
2020,5,Supermarkets,Black,200-249G,8.3302,493.352945,1.9159,1621
2020,5,Supermarkets,Black,400-599G,3.6336,655.264603,1.6351,1225
2020,5,Supermarkets,Yellow,350-399G,16.1501,985.101548,5.814,2207
2020,5,Supermarkets,Red,350-399G,6.3243,868.844336,2.34,827
2020,5,Supermarkets,Deep,<200G,1.477,390.842837,0.2805,106
2020,5,Supermarkets,Deep,350-399G,0.0267,8.962127,0.0093,5
2020,5,Supermarkets,Deep,400-599G,0.079,38.584694,0.0395,48
2020,5,Supermarkets,Pale,<200G,0.0357,5.718368,0.0068,14
2020,5,Supermarkets,Pale,400-599G,1.3731,365.607411,0.5491,202
2020,5,Supermarkets,Delicate,400-599G,3.2629,358.536068,1.6315,1966
2020,5,Supermarkets,Glossy,300-349G,0.2498,46.870565,0.0825,0
2020,5,Supermarkets,Glossy,400-599G,0.4852,215.208807,0.2426,0
2020,5,Supermarkets,Dim,350-399G,0.0654,29.755378,0.0229,0
2020,5,Supermarkets,Dim,400-599G,0.313,173.026412,0.1314,0
2020,6,Hypermarkets,Green,200-249G,17.4455,1029.598821,3.6635,598
2020,6,Hypermarkets,Green,350-399G,45.0632,4036.583675,15.7722,719
2020,6,Hypermarkets,Green,400-599G,50.0413,5268.299434,25.0206,620
2020,6,Hypermarkets,Green,600-899G,2.063,213.294153,1.5473,22
2020,6,Hypermarkets,Blue,400-599G,13.2913,2643.416951,5.3166,580
2020,6,Hypermarkets,Black,200-249G,10.7218,622.228998,2.4661,490
2020,6,Hypermarkets,Black,400-599G,1.0215,160.392984,0.4597,222
2020,6,Hypermarkets,Red,350-399G,2.7663,391.482226,1.0235,150
2020,6,Hypermarkets,White,<200G,3.937,360.477244,0.7087,98
2020,6,Hypermarkets,Yellow,350-399G,2.1413,156.110209,0.7709,100
2020,6,Hypermarkets,Purple,400-599G,0.5585,117.64838,0.2234,164
2020,6,Hypermarkets,Orange,250-299G,0.0048,1.560646,0.0014,4
